 Hydraulic head for Test 3  Transient, leaky, rainfall                          
         time     x-coord.            H
   3.4560E+05   2.0000E+01   3.0391E+01
   3.4560E+05   3.0000E+01   3.0391E+01
   3.4560E+05   4.0000E+01   3.0391E+01
   3.4560E+05   5.0000E+01   3.0391E+01
   3.4560E+05   6.0000E+01   3.0391E+01
   3.4560E+05   7.0000E+01   3.0391E+01
   3.4560E+05   8.0000E+01   3.0391E+01
   3.4560E+05   9.0000E+01   3.0391E+01
   3.4560E+05   1.0000E+02   3.0391E+01
   3.4560E+05   1.1000E+02   3.0391E+01
   3.4560E+05   1.2000E+02   3.0391E+01
   3.4560E+05   1.3000E+02   3.0391E+01
   3.4560E+05   1.4000E+02   3.0391E+01
   3.4560E+05   1.5000E+02   3.0391E+01
   3.4560E+05   1.6000E+02   3.0391E+01
   3.4560E+05   1.7000E+02   3.0391E+01
   3.4560E+05   1.8000E+02   3.0391E+01
   3.4560E+05   1.9000E+02   3.0391E+01
   3.4560E+05   2.0000E+02   3.0391E+01
   3.4560E+05   2.1000E+02   3.0391E+01
   3.4560E+05   2.2000E+02   3.0391E+01
   3.4560E+05   2.3000E+02   3.0391E+01
   3.4560E+05   2.4000E+02   3.0391E+01
   3.4560E+05   2.5000E+02   3.0391E+01
   3.4560E+05   2.6000E+02   3.0391E+01
   3.4560E+05   2.7000E+02   3.0391E+01
   3.4560E+05   2.8000E+02   3.0391E+01
   3.4560E+05   2.9000E+02   3.0391E+01
   3.4560E+05   3.0000E+02   3.0391E+01
   3.4560E+05   3.1000E+02   3.0391E+01
   3.4560E+05   3.2000E+02   3.0391E+01
   3.4560E+05   3.3000E+02   3.0391E+01
   3.4560E+05   3.4000E+02   3.0391E+01
   3.4560E+05   3.5000E+02   3.0391E+01
   3.4560E+05   3.6000E+02   3.0391E+01
   3.4560E+05   3.7000E+02   3.0391E+01
   3.4560E+05   3.8000E+02   3.0391E+01
   3.4560E+05   3.9000E+02   3.0391E+01
   3.4560E+05   4.0000E+02   3.0391E+01
   3.4560E+05   4.1000E+02   3.0391E+01
   3.4560E+05   4.2000E+02   3.0391E+01
   3.4560E+05   4.3000E+02   3.0391E+01
   3.4560E+05   4.4000E+02   3.0391E+01
   3.4560E+05   4.5000E+02   3.0391E+01
   3.4560E+05   4.6000E+02   3.0391E+01
   3.4560E+05   4.7000E+02   3.0391E+01
   3.4560E+05   4.8000E+02   3.0391E+01
   3.4560E+05   4.9000E+02   3.0391E+01
   3.4560E+05   5.0000E+02   3.0391E+01
   3.4560E+05   5.1000E+02   3.0391E+01
   3.4560E+05   5.2000E+02   3.0391E+01
   3.4560E+05   5.3000E+02   3.0391E+01
   3.4560E+05   5.4000E+02   3.0391E+01
   3.4560E+05   5.5000E+02   3.0391E+01
   3.4560E+05   5.6000E+02   3.0391E+01
   3.4560E+05   5.7000E+02   3.0391E+01
   3.4560E+05   5.8000E+02   3.0391E+01
   3.4560E+05   5.9000E+02   3.0391E+01
   3.4560E+05   6.0000E+02   3.0391E+01
   3.4560E+05   6.1000E+02   3.0391E+01
   3.4560E+05   6.2000E+02   3.0391E+01
   3.4560E+05   6.3000E+02   3.0391E+01
   3.4560E+05   6.4000E+02   3.0391E+01
   3.4560E+05   6.5000E+02   3.0391E+01
   3.4560E+05   6.6000E+02   3.0391E+01
   3.4560E+05   6.7000E+02   3.0391E+01
   3.4560E+05   6.8000E+02   3.0391E+01
   3.4560E+05   6.9000E+02   3.0391E+01
   3.4560E+05   7.0000E+02   3.0391E+01
   3.4560E+05   7.1000E+02   3.0391E+01
   3.4560E+05   7.2000E+02   3.0391E+01
   3.4560E+05   7.3000E+02   3.0391E+01
   3.4560E+05   7.4000E+02   3.0391E+01
   3.4560E+05   7.5000E+02   3.0391E+01
   3.4560E+05   7.6000E+02   3.0391E+01
   3.4560E+05   7.7000E+02   3.0391E+01
   3.4560E+05   7.8000E+02   3.0391E+01
   3.4560E+05   7.9000E+02   3.0391E+01
   3.4560E+05   8.0000E+02   3.0391E+01
   3.4560E+05   8.1000E+02   3.0391E+01
   3.4560E+05   8.2000E+02   3.0391E+01
   3.4560E+05   8.3000E+02   3.0391E+01
   3.4560E+05   8.4000E+02   3.0391E+01
   3.4560E+05   8.5000E+02   3.0391E+01
   3.4560E+05   8.6000E+02   3.0391E+01
   3.4560E+05   8.7000E+02   3.0391E+01
   3.4560E+05   8.8000E+02   3.0391E+01
   3.4560E+05   8.9000E+02   3.0391E+01
   3.4560E+05   9.0000E+02   3.0391E+01
   3.4560E+05   9.1000E+02   3.0391E+01
   3.4560E+05   9.2000E+02   3.0391E+01
   3.4560E+05   9.3000E+02   3.0391E+01
   3.4560E+05   9.4000E+02   3.0391E+01
   3.4560E+05   9.5000E+02   3.0391E+01
   3.4560E+05   9.6000E+02   3.0388E+01
   3.4560E+05   9.7000E+02   3.0375E+01
   3.4560E+05   9.8000E+02   3.0325E+01
   3.4560E+05   9.9000E+02   3.0199E+01
   3.4560E+05   1.0000E+03   3.0000E+01
   4.3200E+05   0.0000E+00   3.0762E+01
   4.3200E+05   1.0000E+01   3.0762E+01
   4.3200E+05   2.0000E+01   3.0762E+01
   4.3200E+05   3.0000E+01   3.0762E+01
   4.3200E+05   4.0000E+01   3.0762E+01
   4.3200E+05   5.0000E+01   3.0762E+01
   4.3200E+05   6.0000E+01   3.0762E+01
   4.3200E+05   7.0000E+01   3.0762E+01
   4.3200E+05   8.0000E+01   3.0762E+01
   4.3200E+05   9.0000E+01   3.0762E+01
   4.3200E+05   1.0000E+02   3.0762E+01
   4.3200E+05   1.1000E+02   3.0762E+01
   4.3200E+05   1.2000E+02   3.0762E+01
   4.3200E+05   1.3000E+02   3.0762E+01
   4.3200E+05   1.4000E+02   3.0762E+01
   4.3200E+05   1.5000E+02   3.0762E+01
   4.3200E+05   1.6000E+02   3.0762E+01
   4.3200E+05   1.7000E+02   3.0762E+01
   4.3200E+05   1.8000E+02   3.0762E+01
   4.3200E+05   1.9000E+02   3.0762E+01
   4.3200E+05   2.0000E+02   3.0762E+01
   4.3200E+05   2.1000E+02   3.0762E+01
   4.3200E+05   2.2000E+02   3.0762E+01
   4.3200E+05   2.3000E+02   3.0762E+01
   4.3200E+05   2.4000E+02   3.0762E+01
   4.3200E+05   2.5000E+02   3.0762E+01
   4.3200E+05   2.6000E+02   3.0762E+01
   4.3200E+05   2.7000E+02   3.0762E+01
   4.3200E+05   2.8000E+02   3.0762E+01
   4.3200E+05   2.9000E+02   3.0762E+01
   4.3200E+05   3.0000E+02   3.0762E+01
   4.3200E+05   3.1000E+02   3.0762E+01
   4.3200E+05   3.2000E+02   3.0762E+01
   4.3200E+05   3.3000E+02   3.0762E+01
   4.3200E+05   3.4000E+02   3.0762E+01
   4.3200E+05   3.5000E+02   3.0762E+01
   4.3200E+05   3.6000E+02   3.0762E+01
   4.3200E+05   3.7000E+02   3.0762E+01
   4.3200E+05   3.8000E+02   3.0762E+01
   4.3200E+05   3.9000E+02   3.0762E+01
   4.3200E+05   4.0000E+02   3.0762E+01
   4.3200E+05   4.1000E+02   3.0762E+01
   4.3200E+05   4.2000E+02   3.0762E+01
   4.3200E+05   4.3000E+02   3.0762E+01
   4.3200E+05   4.4000E+02   3.0762E+01
   4.3200E+05   4.5000E+02   3.0762E+01
   4.3200E+05   4.6000E+02   3.0762E+01
   4.3200E+05   4.7000E+02   3.0762E+01
