#Dirchilet BC  (from /Users/houben/phd/python/scripts/ogs5py/setup/1001_reali_0_stor_0.01_rech_whitenoise/transect_GROUNDWATER_FLOW_BC_ST.asc.bc file) 
#Total BC nodes  31
#Node index, name, x, y, z,   value: 
1000  HEAD 1.000000000000e+03 0.000000000000e+00 0.000000000000e+00 3.000000000000e+01
2001  HEAD 1.000000000000e+03 0.000000000000e+00 1.000000000000e+00 3.000000000000e+01
3002  HEAD 1.000000000000e+03 0.000000000000e+00 2.000000000000e+00 3.000000000000e+01
4003  HEAD 1.000000000000e+03 0.000000000000e+00 3.000000000000e+00 3.000000000000e+01
5004  HEAD 1.000000000000e+03 0.000000000000e+00 4.000000000000e+00 3.000000000000e+01
6005  HEAD 1.000000000000e+03 0.000000000000e+00 5.000000000000e+00 3.000000000000e+01
7006  HEAD 1.000000000000e+03 0.000000000000e+00 6.000000000000e+00 3.000000000000e+01
8007  HEAD 1.000000000000e+03 0.000000000000e+00 7.000000000000e+00 3.000000000000e+01
9008  HEAD 1.000000000000e+03 0.000000000000e+00 8.000000000000e+00 3.000000000000e+01
10009  HEAD 1.000000000000e+03 0.000000000000e+00 9.000000000000e+00 3.000000000000e+01
11010  HEAD 1.000000000000e+03 0.000000000000e+00 1.000000000000e+01 3.000000000000e+01
12011  HEAD 1.000000000000e+03 0.000000000000e+00 1.100000000000e+01 3.000000000000e+01
13012  HEAD 1.000000000000e+03 0.000000000000e+00 1.200000000000e+01 3.000000000000e+01
14013  HEAD 1.000000000000e+03 0.000000000000e+00 1.300000000000e+01 3.000000000000e+01
15014  HEAD 1.000000000000e+03 0.000000000000e+00 1.400000000000e+01 3.000000000000e+01
16015  HEAD 1.000000000000e+03 0.000000000000e+00 1.500000000000e+01 3.000000000000e+01
17016  HEAD 1.000000000000e+03 0.000000000000e+00 1.600000000000e+01 3.000000000000e+01
18017  HEAD 1.000000000000e+03 0.000000000000e+00 1.700000000000e+01 3.000000000000e+01
19018  HEAD 1.000000000000e+03 0.000000000000e+00 1.800000000000e+01 3.000000000000e+01
20019  HEAD 1.000000000000e+03 0.000000000000e+00 1.900000000000e+01 3.000000000000e+01
21020  HEAD 1.000000000000e+03 0.000000000000e+00 2.000000000000e+01 3.000000000000e+01
22021  HEAD 1.000000000000e+03 0.000000000000e+00 2.100000000000e+01 3.000000000000e+01
23022  HEAD 1.000000000000e+03 0.000000000000e+00 2.200000000000e+01 3.000000000000e+01
24023  HEAD 1.000000000000e+03 0.000000000000e+00 2.300000000000e+01 3.000000000000e+01
25024  HEAD 1.000000000000e+03 0.000000000000e+00 2.400000000000e+01 3.000000000000e+01
26025  HEAD 1.000000000000e+03 0.000000000000e+00 2.500000000000e+01 3.000000000000e+01
27026  HEAD 1.000000000000e+03 0.000000000000e+00 2.600000000000e+01 3.000000000000e+01
28027  HEAD 1.000000000000e+03 0.000000000000e+00 2.700000000000e+01 3.000000000000e+01
29028  HEAD 1.000000000000e+03 0.000000000000e+00 2.800000000000e+01 3.000000000000e+01
30029  HEAD 1.000000000000e+03 0.000000000000e+00 2.900000000000e+01 3.000000000000e+01
31030  HEAD 1.000000000000e+03 0.000000000000e+00 3.000000000000e+01 3.000000000000e+01
#Source term or Neumann BC  (from /Users/houben/phd/python/scripts/ogs5py/setup/1001_reali_0_stor_0.01_rech_whitenoise/transect_GROUNDWATER_FLOW_BC_ST.asc.st file) 
#Total ST nodes  1001
#Node index, x, y, z, name    value: 
30030  HEAD 0.000000000000e+00 0.000000000000e+00 3.000000000000e+01 5.000000000000e-01
30031  HEAD 1.000000000000e+00 0.000000000000e+00 3.000000000000e+01 1.000000000000e+00
30032  HEAD 2.000000000000e+00 0.000000000000e+00 3.000000000000e+01 1.000000000000e+00
30033  HEAD 3.000000000000e+00 0.000000000000e+00 3.000000000000e+01 1.000000000000e+00
30034  HEAD 4.000000000000e+00 0.000000000000e+00 3.000000000000e+01 1.000000000000e+00
30035  HEAD 5.000000000000e+00 0.000000000000e+00 3.000000000000e+01 1.000000000000e+00
30036  HEAD 6.000000000000e+00 0.000000000000e+00 3.000000000000e+01 1.000000000000e+00
30037  HEAD 7.000000000000e+00 0.000000000000e+00 3.000000000000e+01 1.000000000000e+00
30038  HEAD 8.000000000000e+00 0.000000000000e+00 3.000000000000e+01 1.000000000000e+00
30039  HEAD 9.000000000000e+00 0.000000000000e+00 3.000000000000e+01 1.000000000000e+00
30040  HEAD 1.000000000000e+01 0.000000000000e+00 3.000000000000e+01 1.000000000000e+00
30041  HEAD 1.100000000000e+01 0.000000000000e+00 3.000000000000e+01 1.000000000000e+00
30042  HEAD 1.200000000000e+01 0.000000000000e+00 3.000000000000e+01 1.000000000000e+00
30043  HEAD 1.300000000000e+01 0.000000000000e+00 3.000000000000e+01 1.000000000000e+00
30044  HEAD 1.400000000000e+01 0.000000000000e+00 3.000000000000e+01 1.000000000000e+00
30045  HEAD 1.500000000000e+01 0.000000000000e+00 3.000000000000e+01 1.000000000000e+00
30046  HEAD 1.600000000000e+01 0.000000000000e+00 3.000000000000e+01 1.000000000000e+00
30047  HEAD 1.700000000000e+01 0.000000000000e+00 3.000000000000e+01 1.000000000000e+00
30048  HEAD 1.800000000000e+01 0.000000000000e+00 3.000000000000e+01 1.000000000000e+00
30049  HEAD 1.900000000000e+01 0.000000000000e+00 3.000000000000e+01 1.000000000000e+00
30050  HEAD 2.000000000000e+01 0.000000000000e+00 3.000000000000e+01 1.000000000000e+00
30051  HEAD 2.100000000000e+01 0.000000000000e+00 3.000000000000e+01 1.000000000000e+00
30052  HEAD 2.200000000000e+01 0.000000000000e+00 3.000000000000e+01 1.000000000000e+00
30053  HEAD 2.300000000000e+01 0.000000000000e+00 3.000000000000e+01 1.000000000000e+00
30054  HEAD 2.400000000000e+01 0.000000000000e+00 3.000000000000e+01 1.000000000000e+00
30055  HEAD 2.500000000000e+01 0.000000000000e+00 3.000000000000e+01 1.000000000000e+00
30056  HEAD 2.600000000000e+01 0.000000000000e+00 3.000000000000e+01 1.000000000000e+00
30057  HEAD 2.700000000000e+01 0.000000000000e+00 3.000000000000e+01 1.000000000000e+00
30058  HEAD 2.800000000000e+01 0.000000000000e+00 3.000000000000e+01 1.000000000000e+00
30059  HEAD 2.900000000000e+01 0.000000000000e+00 3.000000000000e+01 1.000000000000e+00
30060  HEAD 3.000000000000e+01 0.000000000000e+00 3.000000000000e+01 1.000000000000e+00
30061  HEAD 3.100000000000e+01 0.000000000000e+00 3.000000000000e+01 1.000000000000e+00
30062  HEAD 3.200000000000e+01 0.000000000000e+00 3.000000000000e+01 1.000000000000e+00
30063  HEAD 3.300000000000e+01 0.000000000000e+00 3.000000000000e+01 1.000000000000e+00
30064  HEAD 3.400000000000e+01 0.000000000000e+00 3.000000000000e+01 1.000000000000e+00
30065  HEAD 3.500000000000e+01 0.000000000000e+00 3.000000000000e+01 1.000000000000e+00
30066  HEAD 3.600000000000e+01 0.000000000000e+00 3.000000000000e+01 1.000000000000e+00
30067  HEAD 3.700000000000e+01 0.000000000000e+00 3.000000000000e+01 1.000000000000e+00
30068  HEAD 3.800000000000e+01 0.000000000000e+00 3.000000000000e+01 1.000000000000e+00
30069  HEAD 3.900000000000e+01 0.000000000000e+00 3.000000000000e+01 1.000000000000e+00
30070  HEAD 4.000000000000e+01 0.000000000000e+00 3.000000000000e+01 1.000000000000e+00
30071  HEAD 4.100000000000e+01 0.000000000000e+00 3.000000000000e+01 1.000000000000e+00
30072  HEAD 4.200000000000e+01 0.000000000000e+00 3.000000000000e+01 1.000000000000e+00
30073  HEAD 4.300000000000e+01 0.000000000000e+00 3.000000000000e+01 1.000000000000e+00
30074  HEAD 4.400000000000e+01 0.000000000000e+00 3.000000000000e+01 1.000000000000e+00
